author,text,likeCount,publishedAt,neg,neu,pos,compound,Sentiment_vader
@narunde,whos here before 100 million?,3319,2025-10-10T19:40:56Z,0.0,1.0,0.0,0.0,neutral
@eviehemingway7892,absolutely obsessed with this!!! the musical aspect is everything,129,2025-10-06T14:48:57Z,0.264,0.736,0.0,-0.4346,negative
@andy07.r,GREATEST BIRTHDAY GIFT FOR TRAVIS!!,400,2025-10-05T22:22:10Z,0.0,0.281,0.719,0.8264,positive
@shellyortiz1977,She's a genius her voice the lyrics......great music,2,2025-11-08T06:23:38Z,0.0,1.0,0.0,0.0,neutral
@Craolaaaa,"The fate of Ophelia is a career highlight for her. The melodies, the sound, the chorus, the music video, literally a masterpiece! Thank you Taylor for giving me another song to be obsessed with for the next decade 😂",422,2025-10-06T03:48:28Z,0.038,0.698,0.263,0.8748,positive
@LeonardoLima-r9q,This era of taylor is very wonderful.,69,2025-10-12T02:32:49Z,0.0,0.6,0.4,0.6115,positive
@sushicat313,I’ve never rewatched a music video as much as I’ve rewatched this one,247,2025-10-06T17:41:03Z,0.0,1.0,0.0,0.0,neutral
@gods_angel.__x,Let's make this video a global top music video ❤,2,2025-11-07T09:39:17Z,0.0,0.795,0.205,0.2023,positive
@jashley777,"Taylor explained how her music was so top secret at the time of filming this video that no one was actually dancing to music. Mandy Moore the choreographer, used a specific count per move to stay inside the beat of the song!Amazing!! This video is a masterpiece. ❤🎉",253,2025-10-29T18:06:55Z,0.042,0.818,0.14,0.7304,positive
@Billie-f9w,"It's like a ""see you"" vibe. I thought it would be like ""I hate being here"" or ""cardigan,"" but this is even better.",77,2025-10-06T00:52:16Z,0.088,0.637,0.275,0.6124,positive
@Laura-mi3nv,"Taylor Swift, today a man of the Silent Generation became a fan of you because I sent him this.  You hit all his buttons with the old school showgirl stuff.  He's 81 and was born in 44, but has always had a thing for the classic 30's movies and, of course, James Bond.  Why haven't you been a Bond girl yet?  Silent Generation fans, that's a beautiful accomplishment!",253,2025-10-07T01:13:28Z,0.0,0.872,0.128,0.8268,positive
@MelienkeWheeler,❤❤❤❤❤❤❤my faf song of the new playlist❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤1,6,2025-11-08T16:22:01Z,0.0,1.0,0.0,0.0,neutral
@aquariusken1810,I love when a Taylor Swift album comes out and everyone gets the urge to release an official statement on the matter ✨,132,2025-10-04T11:54:43Z,0.0,0.705,0.295,0.7269,positive
@eiliyahasab110,"Honestly a work of art, GET HER THAT GRAMMY!",258,2025-10-06T15:44:04Z,0.0,0.68,0.32,0.5093,positive
@isthatpanosg5350,I think its the first time in my life that watch a Taylor video SO many times.,631,2025-10-18T23:07:31Z,0.0,1.0,0.0,0.0,neutral
@rocklee3527,Who is watching it right now?,8,2025-11-07T19:33:03Z,0.0,1.0,0.0,0.0,neutral
@leom_13,"Did anyone else notice that at 2:48, the slate says “Kitty Finlay?”

Kitty being a reference to the track The Life of a Showgirl, and Finlay was her grandma’s last name (Marjorie)",126,2025-10-06T05:07:15Z,0.0,1.0,0.0,0.0,neutral
@SRShelf,"How dare Taylor Swift release this mv in a cinema, NOW I have to include this to the list of things I'm envious about swifties.",84,2025-10-06T02:25:05Z,0.084,0.843,0.072,-0.0772,negative
@garimachaudhary7041,"The hair is just perfection, the wigs are perfection",131,2025-10-06T09:23:56Z,0.0,0.486,0.514,0.8126,positive
@josephsmith7022,For all the hits this might be her best work like her or not she’s the greatest current entertainer ❤,2,2025-11-08T14:31:14Z,0.122,0.542,0.336,0.7124,positive
@rileyyoung3459,Here I am. Playing this song an unhealthy amount of times just so it can be included in my annual spotify wrap up 😭😭😭,141,2025-10-06T02:38:29Z,0.13,0.802,0.069,-0.3818,negative
@gwenisaweirdo,"like the eras tour, this video transitions between different aesthetics rapidly. and in the end, she's alone in a bathtub (like after each show). this album really is just the diary of a popstar and this music video reflects that!",57,2025-10-06T06:38:17Z,0.049,0.883,0.068,0.2003,positive
@Anjojo-f7f,"The transitions, the mood of the setup, the costumes are just ... flawless🤩",61,2025-10-06T22:39:08Z,0.0,1.0,0.0,0.0,neutral
@Lobster0977,Summer time sadness x Paparazzi,1,2025-11-08T16:15:21Z,0.492,0.508,0.0,-0.4404,negative
@thelifeofashowgirll,Who’s here again after watching it for the 100th time? 😭 I’m so obsessed I can’t stop 🫶✨,217,2025-10-06T17:06:14Z,0.252,0.748,0.0,-0.5726,negative
@deborahbosman3648,"Imagine releasing a video and 17 hours later  10 million people have watched it, this level of fame is insane",341,2025-10-06T16:29:38Z,0.119,0.752,0.128,0.0516,positive
@TheMichelleCos,"Can we all take a moment to say how BEAUTIFUL she looks in every character!!!??? 

Also how MESMORISING TAYLOR  is and how she NAILS HER EYE CONTACT WITH THE CAMERA. ABSOLUTELY CAPTIVATING!!!!!!!!! Can't stop watching ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 well done Tay Tay",159,2025-10-11T00:27:56Z,0.0,0.762,0.238,0.9053,positive
@danielasaavedratiria3247,"Si notaron en la parte donde estan las chicas sincronistas, la mano en el salvavidas (flotador) de la chica que tienen vitiligo, se nota que lo hizo a propósito  como inclusión, otro pone una mano ""perfecta"" sin disonancia de tono. Fabulosa",2,2025-11-07T12:20:50Z,0.085,0.915,0.0,-0.5574,negative
@Thegoalss,50M? in 5days? Taylor swift's fans never lie!👑,383,2025-10-11T13:55:19Z,0.0,1.0,0.0,0.0,neutral
@SerenityNow81,I can’t believe she made each scene in just one take. The accuracy and perfection of everyone in it is unbelievable.,99,2025-10-17T15:32:05Z,0.0,0.766,0.234,0.6705,positive
@PuckychunCTV,"I love how Taylor handles art and the history of women in pop culture, while reinventing her narrative from a place of freedom and female power.",168,2025-10-13T03:58:02Z,0.0,0.724,0.276,0.8555,positive
@thilankajayamal6439,Definitely this will win Grammy....,2,2025-11-07T08:40:21Z,0.0,0.316,0.684,0.7579,positive
@atharvashinde2788,"1:49 Taylor, that squeak is everything",116,2025-10-06T00:37:24Z,0.0,1.0,0.0,0.0,neutral
@JetpackLiamG,3:24 my favorite part ❤️‍🔥❤️‍🔥❤️‍🔥,83,2025-10-05T23:01:00Z,0.0,0.571,0.429,0.4588,positive
@carloryva,this video deserves an art gallery ✨,142,2025-10-06T14:15:54Z,0.0,1.0,0.0,0.0,neutral
@nathalieraimond1522,"Me, myself, i.... 🧡",2,2025-11-08T18:00:47Z,0.0,1.0,0.0,0.0,neutral
@VIVIEWHITE,"I have to admit, I’m not a HUGE fan of Taylor, but damn, DAAAAAMN GIRL. This video was beyond, the song is amazing, now I wanna see if she can do even better with “the life of a showgirl” with Sabrina.",171,2025-10-06T23:27:55Z,0.141,0.643,0.217,0.6875,positive
@kristamorgan9178,"72 yr old grandma and 5 yr old granddaughter...I think we've become  Swifties! ❤
Love this new song/vid",137,2025-10-07T16:07:15Z,0.0,0.77,0.23,0.6696,positive
@cristythomas3597,Have anyone talked about how when you pause it there’s an orange door at the button that show your progress😮,356,2025-10-09T23:28:23Z,0.0,1.0,0.0,0.0,neutral
@HaansRaj,This whole album is gonna be so Gatsby Coded!! And I'm down for it ❤,1,2025-11-07T11:10:13Z,0.0,1.0,0.0,0.0,neutral
@dianahernandez4073,I just came from the cinema and I’m dying to rewatch the video😩😩😩😮‍💨,167,2025-10-04T04:48:00Z,0.0,1.0,0.0,0.0,neutral
@jason5179,"Popular opinion: ""The Fate of Ophelia"" is the best song of The Life of a Showgirl",118,2025-10-06T01:50:22Z,0.0,0.65,0.35,0.7906,positive
@cowfucian9725,"""pledge allegiance to your hands, your team, your vibes"" - the fate of Swifties",76,2025-10-06T02:24:19Z,0.0,1.0,0.0,0.0,neutral
@vertbeke7977,An album where every song is a banger... No skips... Remarkable...,3,2025-11-07T14:41:02Z,0.196,0.804,0.0,-0.296,negative
@protap888,"Taylor has done it again… every frame, every note, every emotion hits so deep. This song feels like a story coming alive – absolutely mesmerizing!",97,2025-10-18T16:31:28Z,0.0,0.796,0.204,0.6588,positive
@FakhsvHskjj,The editing is clear and easy to follow This deserves recognition.,60,2025-10-12T17:26:16Z,0.0,0.621,0.379,0.6705,positive
@tonharris3374,Written and Directed by Taylor Swift 🤯🤯🤯🤯,171,2025-10-06T02:43:47Z,0.0,0.769,0.231,0.2023,positive
@robnyse,"Wow the bathtub scene is genius, an ode to Ophelia drowning, this is 🔥",7,2025-11-06T16:31:27Z,0.0,0.759,0.241,0.5859,positive
@URLOCALKATSEYEFANN,I’m not a swiftie but I LOVE THIS ITS LITERALLY VIBES 😅,150,2025-10-09T09:01:01Z,0.401,0.599,0.0,-0.7481,negative
@HectorCastro-gg2jf,Almost 100k likes and the video hasn't even dropped 😮 the power of Taylor💯,124,2025-10-05T18:41:36Z,0.0,0.826,0.174,0.3657,positive
@vernalearn,"0:24 cameo of Taylor's bread, the real hero of this mv.",162,2025-10-06T03:33:06Z,0.0,0.735,0.265,0.5574,positive
@jonathangee9274,What a great song and video,3,2025-11-08T01:24:56Z,0.0,0.494,0.506,0.6249,positive
@Harley-Quint,Her stylist/s and makeup artists know EXACTLY how to present her in the best light.,594,2025-10-30T16:06:19Z,0.0,0.769,0.231,0.6369,positive
@fru1tas,"Happy 40 Million Views and Counting Taylor Swift's 'The Fate of Ophelia' M/V! 
Congratulations on the most streamed Album this year, Showgirl Taylor! 🧡💚",93,2025-10-10T14:02:16Z,0.0,0.729,0.271,0.8475,positive
@fru1tas,"Happy 80 Million Views and Counting Taylor Swift's 'The Fate of Ophelia' M/V! 
Congratulations on the most streamed Album this year, Showgirl Taylor! 🧡💚",64,2025-10-25T13:47:48Z,0.0,0.729,0.271,0.8475,positive
@t-j9u2i,Super Star by far.,2,2025-11-08T02:16:43Z,0.0,0.435,0.565,0.5994,positive
@Ozzy1322,This music video truly reminds me like the times of 2014 when she put so much effort and released banger of a music videos after another. This is an absolute gem. Literally one of the rarest videos that actually deserved to hit one billion streams on youtube in this decade. Thank you Director Taylor for this bop ❗️❤️,112,2025-10-10T01:38:15Z,0.0,0.872,0.128,0.7845,positive
@CindyEvens-nh2tm,Holy shit.  Her stylist/s and makeup artists know EXACTLY how to present her in the best light.  Of course she is amazingly beautiful.  And she’s in love.  We all look better in that light!,55,2025-10-16T03:24:18Z,0.074,0.599,0.326,0.9214,positive
@JM-cu5gy,I love how the last part reminds me so much of the we are never getting back together mv and 3:25 looks so much like her 2013 BMA  22 performance 💣,95,2025-10-06T05:17:20Z,0.0,0.795,0.205,0.7893,positive
@veronicaisi6151,"All the Grammys, VMAs, and every other award belong to her for this masterpiece. 🏆💖❤️‍🔥",8,2025-11-06T15:40:13Z,0.0,0.608,0.392,0.8546,positive
@dzci6144,it's been two weeks and i'm still obsessed with this song and mv,731,2025-10-21T02:38:31Z,0.124,0.876,0.0,-0.1779,negative
@LolesPG,This is the best example of why TAYLOR SWIFT is still a FABULOUS artist.,63,2025-10-05T23:33:35Z,0.0,0.479,0.521,0.8971,positive
@xGetAlive,I hope she makes a music video for all of the songs this time 🫶🏼,63,2025-10-06T04:00:13Z,0.0,0.805,0.195,0.4404,positive
@calentaylor2558,I literally cannot let the twins know I fw this kinda pop 😭 🥀,2,2025-11-08T03:17:56Z,0.0,1.0,0.0,0.0,neutral
@chrispatow,"2:09 IS MY FAVORITE PART, AMAZING JOB 🛟",163,2025-10-05T23:07:39Z,0.0,0.377,0.623,0.8506,positive
@zoejony,Damn I have finals and this song is stuck in my head and I can't stop listening to it It's addictive 🤦‍♀️,64,2025-10-07T06:17:47Z,0.199,0.721,0.08,-0.4238,negative
@Alex_ed1tzzৎ,Music video of the year,63,2025-10-06T22:56:56Z,0.0,1.0,0.0,0.0,neutral
@OfficialRiceMuncherr,"Never have i been a fan of Taylor, but damn i cant get this out of my head😭😭",3,2025-11-07T13:54:59Z,0.279,0.721,0.0,-0.6163,negative
@christiankamsu36,"This music video is so exquisite, to the smallest detail. It's very dynamic, aesthetic and with a warm atmosphere! LOVED IT",71,2025-10-06T13:49:37Z,0.0,0.636,0.364,0.8663,positive
@jenniferjohnson7279,"This was the first actual ts video I have ever watched, now I understand why she is so great, this was amazing.",75,2025-10-07T13:30:30Z,0.0,0.666,0.334,0.8762,positive
@phungkhanhlinhofficial,🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡,1209,2025-10-06T02:42:37Z,0.0,1.0,0.0,0.0,neutral
@FrancescoRoselli-r6o,100M of views in a month!!,3,2025-11-07T16:52:07Z,0.0,1.0,0.0,0.0,neutral
@BoujeeT13,I still can’t get over how she points at her wedding ring for the “ saved my heart from the fate of Ophelia “ 3:21 then catches the football it’s just so spot on of her ❤️‍🔥,132,2025-10-07T04:06:23Z,0.0,0.922,0.078,0.4215,positive
@michaelattwell7502,"Pleased to see that more than 400 years later, Shakespeare is still featuring in our popular culture! I’d love to know what he’d have thought about the video…",69,2025-10-07T00:04:26Z,0.0,0.71,0.29,0.8805,positive
@joeylovestoflex,1:26 Taylor in the black hair reminds me of the mean girl she played in You Belong with me❤❤❤❤❤❤❤,1382,2025-10-06T00:49:20Z,0.0,0.882,0.118,0.34,positive
@Saajzchetri,You don't have to be a fan to liking this masterpiece I mean c'mon now admit this that this song is charting all over the world it's insane what a great music love Taylor Swift and har artwork,1,2025-11-07T11:03:29Z,0.052,0.525,0.423,0.9588,positive
@gretamare2058,"BEST MV EVERR! The album is gorgeous, don’t listen to the hate❤",55,2025-10-06T09:09:24Z,0.0,0.52,0.48,0.8814,positive
@lovekatseyeakina,"i’m personally not a taylor swift fan, but this might be one of the songs of the year. i can’t help if it’s so catchy! don’t even get me started on the choreo",132,2025-10-13T10:35:34Z,0.08,0.809,0.111,0.4705,positive
@missgemmadarling,I can't get this song out of my head. Everything about it is just brilliant,160,2025-10-19T09:39:21Z,0.0,0.774,0.226,0.5859,positive
@namesgamby,This might be her best song,1,2025-11-07T11:05:08Z,0.0,0.543,0.457,0.6369,positive
@sii-s1z,Why did i listen to the critics 😂this is my first time listening to songs from her new album and man she actually ate here 😂❤,179,2025-10-07T01:44:12Z,0.084,0.916,0.0,-0.296,negative
@Crystal.Swiftie.Skiesৎ,100% THE BEST MUSIC VIDEO TAYLOR HAS EVER MADE!!! ❤️‍🔥❤️‍🔥❤️‍🔥,128,2025-10-04T03:07:47Z,0.0,0.608,0.392,0.7788,positive
@Lundynpwsly,"I'm not usually I big music video person! But this is so incredibly stunning!! The stories telling, the aesthetics, the sets everything 😭🙌",76,2025-10-06T01:56:47Z,0.0,0.804,0.196,0.7297,positive
@nelvacarabelli3394,Who's listening today to this masterpiece?,5,2025-11-07T18:36:39Z,0.0,0.506,0.494,0.7073,positive
@JanhaviMishra,This mv has only been out for 1 day and it's already living rent free in my head. She looks STUNNING in that brown wig!!,61,2025-10-07T08:11:57Z,0.0,0.753,0.247,0.8029,positive
@computerrefurbishment9748,I am a heavy rock fan but this song is amazing. She has really matured as a performer and singer. Superb. I believe she also wrote and directed the video.,126,2025-10-19T08:56:59Z,0.0,0.648,0.352,0.926,positive
@ManiUssery,Love love love how she still has her dancers from the Eras tour with her.,110,2025-10-06T04:22:33Z,0.0,0.488,0.512,0.9274,positive
@MiftahulJannah-kv1tt,"the concept of MV is magic and awesome, you can watch many time",2,2025-11-08T14:31:47Z,0.0,0.745,0.255,0.6249,positive
@SuzanneMcCain,The Marilyn look is everything!,60,2025-10-07T16:07:03Z,0.0,1.0,0.0,0.0,neutral
@gayatrishetty-z8l,Miss Taylor Allison Swift U Came Back Stronger Than A 90s Trend✨edit: This is the most likes I've gotten on a comment! Ps this is her best mv ever!!!❤,263,2025-10-06T02:52:11Z,0.045,0.592,0.363,0.9054,positive
@theearchve,Let me know when this M/V reaches 100M Views 🧡💚,70,2025-10-10T14:04:08Z,0.0,0.882,0.118,0.0516,positive
@POVdubailife,just heard it today in the radio. LOVE IT!!!! didnt know twas taylor swift,1,2025-11-07T07:12:34Z,0.0,0.603,0.397,0.836,positive
@tingkumutum154,Why do i love hearing this song again again...,121,2025-11-02T14:09:04Z,0.0,0.625,0.375,0.6369,positive
@DreamyVibezMusic,"This sound is so wonderful. The person who is reading this comment, I wish you great success, health, love and happiness!",640,2025-10-15T03:28:50Z,0.0,0.375,0.625,0.9759,positive
@ElizabethJamal-z5v,"As a lifelong Swiftie, I can't stop replaying every lyric—it's like she reached into my memories and turned them into pure gold",67,2025-10-30T14:19:51Z,0.0,0.746,0.254,0.5842,positive
@Irllydontcare3,1:13 that part scratches my brain,3,2025-11-07T20:26:30Z,0.0,1.0,0.0,0.0,neutral
@_baert,"2:09 love the subtle vitiligo representation!  there are 30 other dancers they could have chosen to hold it, but they didn't!",237,2025-10-08T21:14:19Z,0.0,0.863,0.137,0.4912,positive
@tara_zadah,"Just when I thought Taylor couldn't top herself, she does it again. The Fate of Ophelia is everything",186,2025-10-23T22:12:27Z,0.09,0.91,0.0,-0.1511,negative
@laryha,"How is it possible, that she gets prettier and prettier everytime?",61,2025-10-06T23:07:40Z,0.0,0.592,0.408,0.7351,positive
@FloatingLyrics-h3j,I don’t know about anyone else but I think this is one of the best songs she’s ever done,0,2025-11-07T07:57:27Z,0.0,0.734,0.266,0.7783,positive
@kchan1987,Older millennial here; perpetually listening to songs of the '80s. Yet this has been ON LOOP for the past 72 hours. A masterpiece!,114,2025-10-24T07:39:17Z,0.0,0.827,0.173,0.6588,positive
@Sasha-wv3oy,I'm not a Swiftie but I actually like this one! Very beautiful!,288,2025-10-15T16:53:32Z,0.0,0.454,0.546,0.8915,positive
@book.girlie_13,OMG ITS RELEASING ON TRAVIS’s AND MARJORIE’s BIRTHDAYYYYY 😭😭❤️‍🔥❤️‍🔥,75,2025-10-05T21:32:19Z,0.0,1.0,0.0,0.0,neutral
@FionaPiuma,i cant stop listening to it,3,2025-11-07T20:24:45Z,0.0,0.679,0.321,0.2235,positive
@lovelybouquet13,MY FAVORITE PART 3:36,291,2025-10-05T23:03:55Z,0.0,0.446,0.554,0.5766,positive
@Ralsei_plushie,"TAYLOR LET ME SEE IT AGAIN, I ALREADY SAW IT AT THE CINEMA 😭😭🙏🙏🙏",114,2025-10-04T13:01:23Z,0.0,1.0,0.0,0.0,neutral
@theminecraftgirlofficial,Goddess 😭 I'm obsessed! I don't get the hate for the new album! A song doesn't have to be lyrically complex to be Taylor Swift. She's happier.. she has a fiancee!!!! AHHHH SHE IS THE MOMENT ❤️‍🔥,105,2025-10-06T04:03:06Z,0.045,0.796,0.158,0.6447,positive
@blankspac,I wonder what's the next single?,3,2025-11-08T13:41:17Z,0.0,1.0,0.0,0.0,neutral
@abilenelortz5475,Notice how the open door that she walks through at 3:32 says 87 ? ❤💛,106,2025-10-06T02:20:59Z,0.0,1.0,0.0,0.0,neutral
@RedOsabX_YT,"100M views in 1 month, Congratulations Taylor 🎉🎉🎉🎉🎉",135,2025-11-05T15:22:41Z,0.0,0.606,0.394,0.5994,positive
@abonee,This music video feels like some premium worthy content,69,2025-10-06T02:35:37Z,0.0,0.565,0.435,0.6597,positive
@WELOVETAYLORSVERSION13,103M views!! ❤,2,2025-11-07T08:22:10Z,0.0,1.0,0.0,0.0,neutral
@ElizabethEwing-g5y,"She's gorgeous as always, song is infectious, melody catches you up and gives groove.",96,2025-10-20T01:50:13Z,0.0,0.765,0.235,0.6124,positive
@ivymural9201,i'm in love with this music video 😭Bring me back,96,2025-10-07T21:15:19Z,0.0,0.682,0.318,0.6369,positive
@Everkevinu,This song gives me those 2000’s and 2010’s vibes. Such a masterpiece,61,2025-10-27T21:01:32Z,0.0,0.709,0.291,0.6249,positive
@omar__17,"No sé que me pasó, yo soy un macho alfa y me gusta esta canción",4,2025-11-07T19:44:40Z,0.145,0.855,0.0,-0.296,negative
@polychrome01,1:13 OBSESSED with this choreography... it's so satisfying 😩🤌,104,2025-10-07T10:01:30Z,0.183,0.526,0.291,0.3471,positive
@wallacetorrieri6435,people comlain that she can't dance and sing but nobody gives this type of fun and vibe. Taylor is great entertainer,56,2025-10-06T17:31:54Z,0.0,0.571,0.429,0.9382,positive
@justheameyer5254,my new favorite on repeat can't get enough,69,2025-10-19T10:46:57Z,0.0,0.7,0.3,0.4588,positive
@PoppyWarner-z6y,So calming to listen to before bed.,2,2025-11-07T18:40:43Z,0.0,0.667,0.333,0.4576,positive
@espreesso,"I swore I think I’ve listened to this song like 10000 times, it’s so addictive, I mean this  you saved me from the fate of Ophelia.",57,2025-10-25T05:43:03Z,0.0,0.798,0.202,0.6486,positive
@jenniferhately2423,This is honestly the best music video I've ever seen in my whole life!,56,2025-10-06T15:00:46Z,0.0,0.616,0.384,0.8172,positive
